pca1,pca2,label,tweet
-0.0005410866275708573,-0.022791924170226074,0,"['knee', 'bit', 'sore', 'i', 'guess', 's', 'sign', 'my', 'recent', 'treadmilling', 'work']"
-0.01686462629884593,0.013763225388718704,1,"['can', 'any', 'gynecologist', 'cancer', 'experience', 'explain', 'danger', 'transvaginal', 'douching', 'fluoride', 'or', 'other', 'toxin', 'such', 'dioxin', '?']"
-0.028895219482681908,-0.012499097634924846,1,"['daily', 'routine', 'help', 'prevent', 'problem', 'bipolar', 'disorder', 'xgufudoljb']"
-0.013592289606140924,0.010051756564125408,0,"['impact', 'infertility', 'you', 'relationship', 'pf', 'z', 'wh', 'f']"
-0.04006064769460482,0.01817964502214435,1,"['traffic', 'jam', 'brain', 's', 'neuron', 'could', 'cause', 'statin-related', 'cognitive', 'decline', 'kq', 'xpdepkx']"
-0.003990741571131238,0.008873244847730822,1,"['can', 'play', 'more', 'game', 'improve', 'life', 'save', 'world', '?', 'chris_pelle', 'via', 'postarcade', 'uetvu', 'ad']"
-0.012741050433791081,-0.014574504779177959,0,"['hankazaria', 'thesimpsons', 'oh', 'loneliness', 'cheeseburger', 'dangerous', 'mix']"
-0.0037697179912270606,-0.015241395886007043,0,"['honestly', 'think', 'liverpool', 'left', 'back', 'right', 'wing', 'away', 'cl', 'fabio', 'coentrao', 'james', 'rodriguez', '?']"
-0.04126131185662907,0.0003450077460122097,0,"['science', 'suck']"
-0.01938514803465191,-0.004474327641596568,0,"['ejlnug', 'gog', 'pay', 'attention', 'classification', 'essay', 'format']"
-0.02847711456297759,-0.025958173547161303,1,"['repcohen', 'senalexander', 'senbobcorker', 'pls', 'support', 'funding', 'help', 'fight', 'pancan', 'pancanmemphis', 'mydad']"
-0.04087548251538121,0.018780233741264266,1,"['poverty', 'great', 'cause', 'behind', 'child', 'labour']"
